time,Vmax,count_rhs,errorSrel,errorPSIrel,errorSabs,errorPSIabs,maxPSI,minPSI,maxS,minS,fmax
0,0,0,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
0.100000000000000006,1.00000000000000337e-09,7,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
1.10000000000000009,9.99999999999989516e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
11.0999999999999996,9.99999999998813678e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
111.099999999999994,9.99999999882308805e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
1111.09999999999991,9.99999989305972943e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
4607.15414386650991,9.99999859995937982e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
8965.00129683782689,9.99999589060506348e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
14925.6536189517792,9.99999124532724215e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
22959.0818477068642,9.9999841406251685e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
33810.231275435639,9.99997377513402199e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
48462.576975590091,9.99995905624840983e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
68248.8114327293297,9.99993846813778619e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
94967.6690813524037,9.99990991144703654e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
131048.367140214861,9.99987046699936547e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
179771.303124857834,9.99981605708104561e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
245566.36747906747,9.99974095668411311e-10,6,7.83016447048001642e-312,7.87260438630920318e-312,7.91504430213838994e-312,7.9574842179675767e-312,7.99992413379676346e-312,8.04236404962595022e-312,7.66040480716326938e-312,7.70284472299245614e-312,0
